"","Species","PostRAP","PreRAP","RAP"
"1","Bowfin",0.198917197377388,0,0.801082802622612
"2","Brown Bullhead",0.320320448131487,0.0213834532405027,0.670324291075793
"3","Channel Catfish",0.717948285119092,0,0.282051714880908
"4","Common Carp",0.411593711783538,0.000264290126582166,0.588290661286082
"5","Common Carp x Goldfish",0.253932832745031,0.000655737704918033,0.745814960445385
"6","Freshwater Drum",0.678839273984068,0,0.321160726015932
"7","Gizzard Shad",0.568024866017097,0.000135860335575029,0.431915695086089
"8","Goldfish",0.100025705691267,0.0197051068609412,0.891353310057071
"9","Largemouth Bass",0.256138954784466,0,0.743861045215534
"10","Northern Pike",0.0914827575281197,0.0713073609226402,0.877320272068225
"11","Rainbow Trout",0.0677327968940107,0.23358857586623,0.830072201164514
"12","Rudd",0.172863803519832,0,0.827136196480168
"13","White Bass",0.383302463272543,0,0.616697536727457
"14","White Perch",0.190117292626177,0,0.809882707373823
"15","White Sucker",0.022039246182843,0.0544274912063154,0.954148726414394
"16","Yellow Perch",0,0.108133509003074,0.950848404998603
