"","Species","PostRAP","PreRAP","RAP"
"1","Bowfin",0.0766301179941835,0.612801318817144,0.310568563188672
"2","Brown Bullhead",0.056210132376458,0.455269821706029,0.488520045917513
"3","Channel Catfish",0.0881386760054494,0.0274281045731126,0.884433219421438
"4","Common Carp",0.0316513865798337,0.0800570157867871,0.888291597633379
"5","Common Carp x Goldfish",0.101708273827338,0.131560583355055,0.766731142817607
"6","Freshwater Drum",0.190563489304022,0.0263944285804709,0.783042082115507
"7","Gizzard Shad",0.0479869924695979,0.134506940051427,0.817506067478975
"8","Goldfish",0.0570237650808149,0.429563636368415,0.51341259855077
"9","Largemouth Bass",0.0812659433789465,0.377481452442753,0.541252604178301
"10","Northern Pike",0.0134281389750398,0.708457429022468,0.278114432002492
"11","Rainbow Trout",0.000443262411347518,0.568875547936944,0.430681189651708
"12","Rudd",0,0.379712371946414,0.620287628053586
"13","White Bass",0.113756965552178,0.0623883928571429,0.823854641590679
"14","White Perch",0.0441358247176049,0.372801966051772,0.583062209230623
"15","White Sucker",0.000521870469112718,0.693674198722526,0.305803930808361
"16","Yellow Perch",0,0.916494985457044,0.0835050145429555
