"","Species","PostRAP","PreRAP","RAP"
"1","Bowfin",0.0736007149964378,0.60722789934863,0.319171385654933
"2","Brown Bullhead",0.0599414989016882,0.434986985426983,0.505071515671329
"3","Channel Catfish",0.105816239301468,0.0292050635831968,0.864978697115336
"4","Common Carp",0.0300736653428549,0.0749961395900347,0.89493019506711
"5","Common Carp x Goldfish",0.100788062828613,0.141466124832388,0.757745812338998
"6","Freshwater Drum",0.20991411361607,0.020334464240942,0.769751422142988
"7","Gizzard Shad",0.031658604586579,0.130184047467313,0.838157347946108
"8","Goldfish",0.044622296049089,0.438788544685662,0.516589159265249
"9","Largemouth Bass",0.112759199585719,0.356115785153128,0.531125015261153
"10","Northern Pike",0.0273706299495926,0.714914747556666,0.257714622493741
"11","Rainbow Trout",0.00101317122593718,0.602726679035545,0.396260149738518
"12","Rudd",0,0.336091410559496,0.663908589440504
"13","White Bass",0.10874726710393,0.0530332527747941,0.838219480121276
"14","White Perch",0.0428141666108524,0.3694592043233,0.587726629065847
"15","White Sucker",0.000251121709472597,0.710814912543244,0.288933965747283
"16","Yellow Perch",0,0.919628897672376,0.0803711023276241
