"","Species","PostRAP","PreRAP","RAP"
"1","Bowfin",0.0889877303734238,0,0.0889877303734238
"2","Brown Bullhead",0.0770361610704984,0.0480133651176153,0.0738657418501224
"3","Channel Catfish",0.158823252076982,0,0.158823252076982
"4","Common Carp",0.122058019182637,0.000536152773982599,0.122187914709476
"5","Common Carp x Goldfish",0.188501430288557,0.00146627408360642,0.188273238610131
"6","Freshwater Drum",0.150485054504124,0,0.150485054504124
"7","Gizzard Shad",0.139761186849522,0.000359452660969308,0.139691732320179
"8","Goldfish",0.0831514148937158,0.0461593930334985,0.0927028306676324
"9","Largemouth Bass",0.126629398848597,0,0.126629398848597
"10","Northern Pike",0.0746473371181813,0.132188573952303,0.120619611026985
"11","Rainbow Trout",0.0276866744415185,0.152239881398954,0.150143203064234
"12","Rudd",0.15200657621906,0,0.15200657621906
"13","White Bass",0.211990640136725,0,0.211990640136725
"14","White Perch",0.0657187410183749,0,0.0657187410183749
"15","White Sucker",0.0057835244051128,0.0508747478607434,0.0471795410929326
"16","Yellow Perch",0,0.0983835752944853,0.0983835752944853
