"","Species","PostRAP","PreRAP","RAP"
"1","Bowfin",0.0722581523773283,0.126643765767184,0.0914158086071741
"2","Brown Bullhead",0.0225841007970414,0.1311234503514,0.139486864552491
"3","Channel Catfish",0.0582728920511941,0.0209597934793937,0.0661722718621145
"4","Common Carp",0.0217556536538109,0.0673157713504132,0.0698681111914912
"5","Common Carp x Goldfish",0.139361297992862,0.11347585485881,0.145891732259042
"6","Freshwater Drum",0.11374121125885,0.0358934516122907,0.106902636941434
"7","Gizzard Shad",0.0821156646402669,0.0727538154889421,0.112651053866649
"8","Goldfish",0.0758321491250675,0.184626048829311,0.182433770049153
"9","Largemouth Bass",0.0647729041875285,0.159383370471366,0.168733856972164
"10","Northern Pike",0.0291337646482807,0.12459682206229,0.123136803613217
"11","Rainbow Trout",0.00177304964539007,0.153216113598817,0.152717556044777
"12","Rudd",0,0.255665250234852,0.255665250234852
"13","White Bass",0.141688713437825,0.0666461523762547,0.132649994102929
"14","White Perch",0.0408764490942958,0.226547638091423,0.235622813894842
"15","White Sucker",0.000669159040243956,0.106355174809009,0.105934915024893
"16","Yellow Perch",0,0.0659673518787374,0.0659673518787374
