"","Species","PostRAP","PreRAP","RAP"
"1","Bowfin",0.0660243613302228,0.119229253292291,0.0896047394332254
"2","Brown Bullhead",0.0520330586338739,0.127622009351905,0.128563171686294
"3","Channel Catfish",0.0854469462585168,0.0207669251653095,0.0857705540644942
"4","Common Carp",0.0195958192017732,0.0559819815140914,0.0606396399347224
"5","Common Carp x Goldfish",0.120843434852659,0.127136517036234,0.157211717157352
"6","Freshwater Drum",0.123291603317474,0.0308193746232363,0.115852226400036
"7","Gizzard Shad",0.0407642729421469,0.0855797909911196,0.117238311196636
"8","Goldfish",0.0644633529281144,0.191950488483837,0.194224671023486
"9","Largemouth Bass",0.088215221860027,0.149618536555848,0.149985400688521
"10","Northern Pike",0.0404800150908793,0.102235394010717,0.0895243597259859
"11","Rainbow Trout",0.00268059909935622,0.153095427567828,0.151579009501156
"12","Rudd",0,0.385952058140286,0.385952058140286
"13","White Bass",0.129081651162538,0.0578339233460649,0.127117905874619
"14","White Perch",0.0431640907146743,0.217689090359593,0.22042974573861
"15","White Sucker",0.00048938269108195,0.114418876844434,0.114025755941257
"16","Yellow Perch",0,0.0744186011573344,0.0744186011573344
