"","Year","LastLiftDay","FirstLiftDay","NumberLiftDays","Pre_CoolWater_RAPAvailable","Pre_CoolWater_RAPDuration","Pre_Warmwater_RAPAvailable","Pre_Warmwater_RAPDuration"
"1",1996,200,82,31,"No",NA,"Yes",-39
"2",1997,241,80,109,"No",NA,"Yes",-41
"3",1998,240,63,101,"Yes",-11,"Yes",-58
"4",1999,242,106,82,"No",NA,"Yes",-15
"5",2000,243,61,113,"Yes",-13,"Yes",-60
"6",2001,243,72,109,"Yes",-2,"Yes",-49
"7",2002,242,63,115,"Yes",-11,"Yes",-58
"8",2003,240,79,104,"No",NA,"Yes",-42
"9",2004,243,79,106,"No",NA,"Yes",-42
"10",2005,243,82,100,"No",NA,"Yes",-39
"11",2006,242,73,109,"Yes",-1,"Yes",-48
"12",2007,243,81,103,"No",NA,"Yes",-40
"13",2008,242,86,103,"No",NA,"Yes",-35
"14",2009,243,71,118,"Yes",-3,"Yes",-50
"15",2010,242,70,113,"Yes",-4,"Yes",-51
"16",2011,243,74,114,"Yes",0,"Yes",-47
"17",2012,242,67,108,"Yes",-7,"Yes",-54
"18",2013,242,73,103,"Yes",-1,"Yes",-48
"19",2014,241,90,91,"No",NA,"Yes",-31
"20",2015,243,85,95,"No",NA,"Yes",-36
"21",2016,242,69,106,"Yes",-5,"Yes",-52
"22",2017,242,66,103,"Yes",-8,"Yes",-55
"23",2018,242,59,109,"Yes",-15,"Yes",-62
"24",2019,242,74,100,"Yes",0,"Yes",-47
"25",2020,241,70,106,"Yes",-4,"Yes",-51
"26",2021,242,70,109,"Yes",-4,"Yes",-51
"27",2022,243,77,111,"No",NA,"Yes",-44
