,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Total
Bowfin,21,18,32,56,75,91,79,61,78,64,76,75,95,72,111,183,120,148,171,193,204,187,163,194,155,2722
Brown Bullhead,5187,5279,15774,21996,23592,28591,28372,24815,31274,23265,29529,22120,13099,13836,4357,8337,12043,15403,23060,16728,24054,9356,8255,8285,14192,430799
Channel Catfish,666,616,2054,656,1464,1601,1200,996,906,838,1497,868,1039,1153,520,1012,1082,728,711,864,336,529,258,329,333,22256
Common Carp,14618,8526,26644,14419,15016,10193,6376,5271,4293,3652,10486,6017,2981,5649,1705,8570,7171,4079,2695,9438,1977,4754,2279,1070,1231,179110
Common Carp x Goldfish,119,0,0,1,10,16,19,125,105,139,312,428,70,108,31,162,60,123,134,305,290,1344,321,37,86,4345
Freshwater Drum,950,1489,1140,1633,1320,1478,1314,779,680,661,837,485,638,159,248,93,120,75,44,43,28,29,81,15,55,14394
Gizzard Shad,271,152,359,575,698,1418,3002,2081,2900,2121,993,768,1320,1465,1391,3028,2286,1497,1790,2103,4798,1571,2784,3198,2652,45221
Goldfish,22,10,137,66,304,255,356,349,549,446,1308,971,751,732,428,799,1727,2461,2080,1701,2139,2675,1590,999,305,23160
Largemouth Bass,4,0,4,14,30,39,30,22,11,23,37,44,34,54,44,27,35,22,34,20,20,38,5,4,3,598
Northern Pike,40,26,174,81,42,42,34,11,10,32,18,11,43,43,58,51,15,39,68,68,73,43,18,15,11,1066
Rainbow Trout,224,132,213,191,118,190,88,100,51,130,126,53,102,217,141,379,345,164,140,98,87,97,114,43,55,3598
Rudd,0,0,0,1,0,0,0,0,0,0,1,1,3,4,4,1,3,6,12,47,18,25,24,54,56,260
White Bass,6,1,1,9,6,5,12,15,12,17,28,20,47,14,32,105,19,33,32,15,6,7,5,2,1,450
White Perch,40,35,130,41,49,33,157,59,56,30,14,25,27,53,15,24,123,40,32,31,24,2,6,14,9,1069
White Sucker,2757,1495,4945,5748,8176,8408,4656,4619,1809,3825,3710,3329,3047,5619,2564,5296,5529,5808,4430,3266,5146,5680,2327,3736,4227,110152
Yellow Perch,6,3,23,24,72,231,28,77,14,91,32,22,23,87,22,67,163,42,9,10,15,6,3,9,8,1087
