"","Year","American Eel","Atlantic Salmon","Bigmouth Buffalo","Black Crappie","Black x Brown Bullhead","BlackXSmallmouth Buffalo","Bowfin","Brown Bullhead","Brown Trout","Channel Catfish","Chinook Salmon","Common Carp","Common Carp x Goldfish","Freshwater Drum","Giant crayfish","Gizzard Shad","Golden Redhorse","Goldfish","Greater Redhorse","Lake Trout","Largemouth Bass","Longnose Gar","Longnose Sucker","NO FISH","Northern Pike","Rainbow Trout","Rock Bass","Rudd","Sea Lamprey","Shorthead Redhorse","Silver Lamprey","Silver Redhorse","Smallmouth Bass","Spotted Gar","Striped Bass","Walleye","White Bass","White Perch","White Sucker","Yellow Perch"
"1",1997,0,0,1,18,0,0,21,5187,3,666,0,14618,119,950,0,271,1,22,0,0,4,0,0,0,40,224,0,0,0,1,0,4,1,0,0,0,6,40,2757,6
"2",1998,0,0,0,4,0,0,18,5279,0,616,0,8526,0,1489,0,152,0,10,0,2,0,0,0,0,26,132,0,0,0,2,0,0,0,0,1,0,1,35,1495,3
"3",2000,0,0,6,3,0,0,32,15774,0,2054,0,26644,0,1140,0,359,0,137,0,0,4,1,0,0,174,213,0,0,0,0,0,3,5,0,0,7,1,130,4945,23
"4",2001,0,0,0,6,0,0,56,21996,1,656,0,14419,1,1633,0,575,0,66,0,0,14,1,0,0,81,191,0,1,0,2,0,0,2,0,0,0,9,41,5748,24
"5",2002,0,0,6,14,0,0,75,23592,0,1464,0,15016,10,1320,0,698,0,304,0,0,30,3,0,0,42,118,0,0,0,2,0,0,5,0,0,2,6,49,8176,72
"6",2003,0,0,3,20,1,0,91,28591,0,1601,0,10193,16,1478,0,1418,0,255,0,1,39,1,0,0,42,190,1,0,0,3,0,0,1,0,0,1,5,33,8408,231
"7",2004,0,0,0,10,0,0,79,28372,5,1200,1,6376,19,1314,0,3002,0,356,0,0,30,2,0,0,34,88,0,0,0,1,0,0,2,0,0,0,12,157,4656,28
"8",2005,0,0,3,12,5,0,61,24815,0,996,0,5271,125,779,0,2081,2,349,2,0,22,2,0,0,11,100,1,0,0,0,0,0,1,0,0,1,15,59,4619,77
"9",2006,0,0,0,7,1,0,78,31274,0,906,0,4293,105,680,0,2900,0,549,0,0,11,2,0,0,10,51,1,0,0,0,0,0,2,1,0,0,12,56,1809,14
"10",2007,0,0,10,0,1,0,64,23265,3,838,0,3652,139,661,0,2121,0,446,0,1,23,0,0,0,32,130,2,0,0,1,0,0,1,0,0,0,17,30,3825,91
"11",2008,0,0,20,1,0,0,76,29529,1,1497,0,10486,312,837,1,993,0,1308,0,0,37,2,0,0,18,126,3,1,1,2,1,0,7,0,0,0,28,14,3710,32
"12",2009,0,0,11,0,0,0,75,22120,0,868,0,6017,428,485,0,768,0,971,0,0,44,0,0,0,11,53,2,1,0,1,0,0,2,0,0,0,20,25,3329,22
"13",2010,1,0,2,1,0,0,95,13099,0,1039,0,2981,70,638,0,1320,0,751,0,0,34,3,0,0,43,102,0,3,1,0,1,0,2,0,0,0,47,27,3047,23
"14",2011,0,0,11,1,1,0,72,13836,2,1153,0,5649,108,159,0,1465,0,732,0,0,54,2,2,0,43,217,6,4,0,2,0,0,2,0,0,0,14,53,5619,87
"15",2012,0,0,1,0,0,0,111,4357,4,520,0,1705,31,248,0,1391,0,428,0,0,44,2,0,0,58,141,0,4,2,3,0,0,0,0,0,1,32,15,2564,22
"16",2013,0,0,7,0,0,2,183,8337,0,1012,0,8570,162,93,0,3028,0,799,0,0,27,1,0,0,51,379,2,1,1,0,0,0,0,0,0,1,105,24,5296,67
"17",2014,0,0,4,0,0,0,120,12043,0,1082,0,7171,60,120,0,2286,0,1727,0,0,35,3,0,0,15,345,0,3,0,2,0,0,1,0,0,0,19,123,5529,163
"18",2015,2,0,0,0,0,0,148,15403,0,728,0,4079,123,75,0,1497,0,2461,0,0,22,0,0,0,39,164,1,6,0,2,0,0,0,0,0,0,33,40,5808,42
"19",2016,0,0,0,0,3,0,171,23060,0,711,0,2695,134,44,0,1790,0,2080,0,0,34,0,0,0,68,140,0,12,0,0,0,0,0,0,0,0,32,32,4430,9
"20",2017,1,0,37,0,0,0,193,16728,2,864,0,9438,305,43,0,2103,0,1701,0,0,20,1,0,0,68,98,0,47,0,0,0,0,1,0,0,0,15,31,3266,10
"21",2018,0,0,3,0,0,0,204,24054,0,336,0,1977,290,28,0,4798,0,2139,0,1,20,0,0,0,73,87,2,18,0,1,0,0,0,0,0,0,6,24,5146,15
"22",2019,1,0,6,0,0,0,187,9356,2,529,0,4754,1344,29,0,1571,0,2675,0,0,38,0,0,0,43,97,0,25,0,0,0,0,0,0,0,0,7,2,5680,6
"23",2020,0,2,5,0,0,1,163,8255,1,258,0,2279,321,81,0,2784,0,1590,0,1,5,0,0,0,18,114,0,24,0,1,0,0,2,0,0,0,5,6,2327,3
"24",2021,0,0,1,0,0,0,194,8285,1,329,0,1070,37,15,0,3198,0,999,0,0,4,0,0,0,15,43,0,54,0,0,0,0,0,0,0,1,2,14,3736,9
"25",2022,0,0,2,0,0,0,155,14192,0,333,0,1231,86,55,0,2652,0,305,0,2,3,0,0,0,11,55,0,56,0,0,0,0,0,0,0,0,1,9,4227,8
