"","Species","Year","Week","Week.Sum","Year.Sum","fYear","Prop.Year","fSpecies"
"1","American Eel",1997,12,0,0,"1997",0,"American Eel"
"2","American Eel",1997,13,0,0,"1997",0,"American Eel"
"3","American Eel",1997,14,0,0,"1997",0,"American Eel"
"4","American Eel",1997,15,0,0,"1997",0,"American Eel"
"5","American Eel",1997,16,0,0,"1997",0,"American Eel"
"6","American Eel",1997,17,0,0,"1997",0,"American Eel"
"7","American Eel",1997,18,0,0,"1997",0,"American Eel"
"8","American Eel",1997,19,0,0,"1997",0,"American Eel"
"9","American Eel",1997,20,0,0,"1997",0,"American Eel"
"10","American Eel",1997,21,0,0,"1997",0,"American Eel"
"11","American Eel",1997,22,0,0,"1997",0,"American Eel"
"12","American Eel",1997,23,0,0,"1997",0,"American Eel"
"13","American Eel",1997,24,0,0,"1997",0,"American Eel"
"14","American Eel",1997,25,0,0,"1997",0,"American Eel"
"15","American Eel",1997,26,0,0,"1997",0,"American Eel"
"16","American Eel",1997,27,0,0,"1997",0,"American Eel"
"17","American Eel",1997,28,0,0,"1997",0,"American Eel"
"18","American Eel",1997,29,0,0,"1997",0,"American Eel"
"19","American Eel",1997,30,0,0,"1997",0,"American Eel"
"20","American Eel",1997,31,0,0,"1997",0,"American Eel"
"21","American Eel",1997,32,0,0,"1997",0,"American Eel"
"22","American Eel",1997,33,0,0,"1997",0,"American Eel"
"23","American Eel",1997,34,0,0,"1997",0,"American Eel"
"24","American Eel",1997,35,0,0,"1997",0,"American Eel"
"25","American Eel",1998,14,0,0,"1998",0,"American Eel"
"26","American Eel",1998,15,0,0,"1998",0,"American Eel"
"27","American Eel",1998,16,0,0,"1998",0,"American Eel"
"28","American Eel",1998,17,0,0,"1998",0,"American Eel"
"29","American Eel",1998,18,0,0,"1998",0,"American Eel"
"30","American Eel",1998,19,0,0,"1998",0,"American Eel"
"31","American Eel",1998,20,0,0,"1998",0,"American Eel"
"32","American Eel",1998,21,0,0,"1998",0,"American Eel"
"33","American Eel",1998,22,0,0,"1998",0,"American Eel"
"34","American Eel",1998,23,0,0,"1998",0,"American Eel"
"35","American Eel",1998,24,0,0,"1998",0,"American Eel"
"36","American Eel",1998,25,0,0,"1998",0,"American Eel"
"37","American Eel",1998,26,0,0,"1998",0,"American Eel"
"38","American Eel",1998,27,0,0,"1998",0,"American Eel"
"39","American Eel",1998,28,0,0,"1998",0,"American Eel"
"40","American Eel",1998,29,0,0,"1998",0,"American Eel"
"41","American Eel",1998,30,0,0,"1998",0,"American Eel"
"42","American Eel",1998,31,0,0,"1998",0,"American Eel"
"43","American Eel",1998,32,0,0,"1998",0,"American Eel"
"44","American Eel",1998,33,0,0,"1998",0,"American Eel"
"45","American Eel",1998,34,0,0,"1998",0,"American Eel"
"46","American Eel",1998,35,0,0,"1998",0,"American Eel"
"47","American Eel",1998,10,0,0,"1998",0,"American Eel"
"48","American Eel",1998,12,0,0,"1998",0,"American Eel"
"49","American Eel",1998,13,0,0,"1998",0,"American Eel"
"50","American Eel",2000,9,0,0,"2000",0,"American Eel"
"51","American Eel",2000,10,0,0,"2000",0,"American Eel"
"52","American Eel",2000,11,0,0,"2000",0,"American Eel"
"53","American Eel",2000,12,0,0,"2000",0,"American Eel"
"54","American Eel",2000,13,0,0,"2000",0,"American Eel"
"55","American Eel",2000,14,0,0,"2000",0,"American Eel"
"56","American Eel",2000,15,0,0,"2000",0,"American Eel"
"57","American Eel",2000,16,0,0,"2000",0,"American Eel"
"58","American Eel",2000,17,0,0,"2000",0,"American Eel"
"59","American Eel",2000,18,0,0,"2000",0,"American Eel"
"60","American Eel",2000,19,0,0,"2000",0,"American Eel"
"61","American Eel",2000,20,0,0,"2000",0,"American Eel"
"62","American Eel",2000,21,0,0,"2000",0,"American Eel"
"63","American Eel",2000,22,0,0,"2000",0,"American Eel"
"64","American Eel",2000,23,0,0,"2000",0,"American Eel"
"65","American Eel",2000,24,0,0,"2000",0,"American Eel"
"66","American Eel",2000,25,0,0,"2000",0,"American Eel"
"67","American Eel",2000,26,0,0,"2000",0,"American Eel"
"68","American Eel",2000,27,0,0,"2000",0,"American Eel"
"69","American Eel",2000,28,0,0,"2000",0,"American Eel"
"70","American Eel",2000,29,0,0,"2000",0,"American Eel"
"71","American Eel",2000,30,0,0,"2000",0,"American Eel"
"72","American Eel",2000,31,0,0,"2000",0,"American Eel"
"73","American Eel",2000,32,0,0,"2000",0,"American Eel"
"74","American Eel",2000,33,0,0,"2000",0,"American Eel"
"75","American Eel",2000,34,0,0,"2000",0,"American Eel"
"76","American Eel",2000,35,0,0,"2000",0,"American Eel"
